"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.27  
MgO     ,  9.65    ,  0.50  
Al2O3   ,  7.11    ,  0.38  
SiO2    , 35.16    ,  0.75  
P2O5    ,  0.72    ,  0.12  
SO3     , 14.07    ,  0.73  
Cl      ,  1.53    ,  0.08  
K2O     ,  0.62    ,  0.05  
CaO     ,  5.25    ,  0.27  
TiO2    ,  0.99    ,  0.07  
Cr2O3   ,  0.35    ,  0.05  
MnO     ,  0.37    ,  0.04  
FeO     , 21.52    ,  0.46  
Ni      ,  0.0592  ,  0.0075
Zn      ,  0.0915  ,  0.0050
Br      ,  0.0009  ,  0.0010
